""ID"",""pca1"",""pca2"",""pca3"",""pca4"",""pca5"",""pca6"",""pca7"",""pca8"",""si1"",""si2"",""si3"",""si4"",""si5"",""si6"",""gef1"",""gef2"",""gef3"",""pefi1"",""pefi2"",""pefi3"",""pefi4"",""lgm1"",""lgm2"",""lgm3"",""eag1"",""eag2"",""eag3"",""eag4"",""eag5"",""eag6"",""eag7"",""eag8"",""vis1"",""vis2"",""vis3"",""gno1"",""gno2"",""gno3"",""gno4"",""vote1"",""vote2"",""soch1"",""soch2"",""soch3"",""soch4"",""ipol1"",""ipol2"",""ipol3"",""ipol4"",""coid"",""por1"",""sex"",""reli"",""school"",""age""
9,2,5,1,5,3,1,1,1,5,5,5,4,3,2,5,5,4,4,4,5,4,5,5,5,1,5,1,3,2,4,3,5,1,5,4,4,3,4,5,3,2,4,2,1,5,4,2,5,5,3,3,1,10,1,1
10,4,4,2,4,1,1,1,2,4,4,4,3,4,3,4,4,5,4,3,3,4,4,4,3,1,4,1,2,5,4,2,5,4,4,1,3,3,4,3,3,3,5,3,3,4,2,2,5,4,3,3,2,10,2,2
11,4,4,3,1,1,1,1,2,4,3,5,3,4,4,5,5,4,5,3,4,4,5,4,4,3,5,1,4,5,5,4,1,3,4,3,5,4,5,5,3,3,5,1,1,5,4,4,1,5,3,5,2,8,1,1
13,2,4,2,4,1,1,1,1,5,4,3,3,3,4,5,4,4,5,3,4,4,5,4,4,2,4,2,3,2,5,5,5,2,4,4,4,4,4,3,3,3,4,3,1,5,2,4,4,3,3,3,1,10,2,1
17,5,3,1,2,1,1,1,1,4,5,4,2,3,3,4,5,5,4,4,3,4,4,3,4,1,5,2,3,5,5,4,3,5,1,1,3,3,4,4,3,3,4,1,1,4,3,3,3,5,4,5,2,1,1,1
19,4,3,1,3,1,1,1,1,4,4,4,3,4,4,4,4,3,5,3,3,4,4,3,1,1,1,2,2,1,1,1,1,5,5,1,3,3,3,3,3,3,4,2,3,4,1,2,1,3,4,5,1,10,2,4
23,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,4,2,1,1,1,2,2,3,1,2,3,1,4,2,2,3,5,3,1,1,1,1,1,3,2,2,4,4,3,5,3,1,2,4,7,1,1,3,1
26,2,1,1,1,1,1,1,1,3,4,3,2,1,1,3,3,3,2,1,1,1,4,2,3,2,3,1,1,5,3,1,3,4,4,1,3,3,3,3,3,3,4,2,2,4,2,1,4,4,4,3,1,8,2,1
28,3,1,1,1,1,1,1,1,3,2,3,4,2,2,2,2,2,3,3,3,3,3,3,4,3,5,1,1,5,5,5,1,5,1,1,3,1,3,1,3,3,5,2,1,5,2,2,6,3,4,6,1,9,1,3
29,4,1,1,1,1,1,1,1,3,4,3,4,3,3,4,4,3,2,1,1,1,4,2,4,1,5,1,1,1,4,4,5,4,4,2,3,1,4,5,2,3,4,1,1,4,4,1,6,5,3,2,2,8,2,2
32,4,2,1,1,1,1,2,1,4,4,4,4,4,3,4,4,4,4,3,2,3,4,4,3,1,4,2,4,5,4,4,2,4,2,2,4,3,4,3,3,3,2,2,3,3,2,2,6,4,4,3,1,1,2,2
34,4,3,5,4,1,1,2,1,4,4,3,4,2,3,3,3,3,4,3,3,3,4,3,4,3,3,2,2,2,4,4,4,3,4,3,3,3,3,3,3,3,4,1,1,5,3,3,6,4,4,2,1,9,2,2
35,4,4,3,4,2,1,1,1,4,4,5,4,4,4,5,5,5,4,3,3,3,5,5,5,1,4,1,3,5,5,2,5,2,5,2,4,3,4,4,3,3,5,1,1,5,5,4,4,5,3,4,1,10,2,1
38,3,1,2,4,3,3,4,1,4,4,3,4,4,4,4,3,4,5,4,4,4,4,3,4,3,3,1,2,2,4,5,5,2,4,3,3,3,4,4,2,2,3,4,2,3,4,3,1,3,4,1,1,9,1,5
39,5,3,3,4,3,2,2,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,5,1,2,1,5,3,4,2,4,4,3,3,4,5,2,2,4,3,3,4,1,4,6,5,4,1,1,11,1,8
42,1,1,1,1,1,1,1,1,3,2,1,1,1,1,4,3,3,4,2,1,1,1,1,2,5,5,5,1,5,5,3,1,5,2,1,2,2,2,1,3,3,2,2,4,1,3,3,1,3,1,9,1,1,1,1
44,4,4,4,4,2,2,2,2,4,4,5,3,4,5,5,5,5,4,4,4,3,5,5,4,2,5,1,3,3,3,5,5,4,4,4,4,4,4,4,3,3,5,1,1,5,6,3,5,5,3,5,1,11,1,1
46,4,4,3,5,2,1,1,3,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,2,5,1,1,2,5,4,5,2,4,3,5,5,5,5,3,3,5,3,3,4,4,4,6,4,4,2,2,9,3,1
48,4,2,1,1,1,1,1,1,5,4,4,3,4,3,5,5,4,4,4,4,3,5,5,4,1,5,3,3,5,5,4,1,2,1,3,3,2,3,3,3,3,5,1,1,5,6,3,2,4,4,8,2,1,2,1
49,3,1,1,1,1,1,1,1,3,4,3,3,3,2,3,4,4,3,3,3,3,4,4,4,2,3,1,1,3,3,3,3,4,2,2,3,3,4,4,2,2,4,3,3,4,4,1,6,4,4,7,1,2,1,1
51,3,2,2,2,2,1,1,2,4,5,5,4,2,4,5,4,5,5,3,3,4,5,5,5,1,5,1,1,5,5,2,5,5,4,2,4,3,5,5,3,3,5,1,1,5,5,5,6,5,3,2,1,8,2,2
53,4,3,2,4,3,2,2,2,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,1,5,1,2,3,5,3,5,3,5,3,2,2,5,4,1,1,4,2,2,4,5,4,6,3,4,3,1,8,2,3
55,4,4,3,2,1,1,1,1,4,4,4,4,3,3,4,5,5,3,2,3,3,5,4,5,1,5,1,1,5,5,5,5,4,5,3,3,2,4,5,3,3,5,2,2,1,4,5,4,3,3,2,2,8,3,1
58,3,3,1,3,1,1,1,1,4,4,3,4,3,3,4,4,4,5,4,3,4,4,3,3,2,3,2,1,4,5,4,2,5,3,1,2,1,3,3,3,2,5,3,1,4,2,2,6,4,4,6,2,10,2,2
59,5,5,5,5,4,3,4,3,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,2,5,3,5,3,5,2,4,4,5,5,5,5,3,3,5,1,1,5,5,5,6,5,3,1,2,9,2,3
60,5,4,1,5,1,1,1,1,5,5,5,5,5,5,5,4,3,4,2,3,2,5,4,5,1,5,1,2,4,5,4,5,2,4,3,4,4,4,4,3,3,5,1,1,5,4,5,6,4,3,1,2,10,3,2
63,2,3,1,3,1,1,1,1,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,5,3,4,2,2,5,4,4,2,5,1,1,3,2,4,4,3,3,4,2,2,4,3,2,6,4,4,6,1,2,3,1
64,4,3,1,4,1,1,1,1,4,4,4,3,3,3,4,4,3,4,3,2,4,5,4,4,3,4,2,3,4,5,4,4,3,3,2,4,3,4,4,3,3,4,2,2,4,5,4,1,4,4,4,1,8,3,1
65,3,1,1,3,1,1,1,1,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,4,2,4,2,3,5,4,4,2,5,3,5,3,2,4,4,3,2,4,2,3,4,4,2,3,5,4,4,1,8,2,2
67,1,4,1,1,1,1,1,1,4,3,3,3,3,3,4,4,3,4,3,4,4,4,3,3,1,5,1,1,5,5,3,4,2,4,2,3,3,3,3,3,3,4,2,2,4,2,3,6,3,4,6,2,1,1,1
69,3,3,1,2,1,1,1,1,3,3,3,3,2,3,2,2,4,3,2,3,4,3,2,4,4,4,1,1,5,3,3,1,5,2,1,1,1,3,3,3,3,4,2,1,4,2,4,6,3,4,7,2,1,3,2
70,5,4,3,4,1,1,2,1,4,4,5,5,4,4,5,5,5,4,4,4,4,5,5,5,1,4,3,4,5,5,5,5,5,5,1,5,5,5,5,3,3,5,1,1,5,5,3,1,4,3,1,2,10,2,1
77,3,3,2,4,1,1,1,1,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,1,4,1,4,5,4,3,2,5,1,1,2,2,2,2,3,3,4,3,3,3,3,2,6,5,3,6,2,9,3,1
82,3,2,1,2,1,1,1,1,4,3,3,1,2,2,3,4,4,4,3,2,4,4,3,1,2,4,2,1,5,3,3,1,5,1,1,3,3,3,3,3,2,4,3,3,4,3,3,4,3,4,7,1,10,2,1
84,4,3,3,5,3,3,3,3,5,5,5,3,3,3,4,3,3,5,2,2,2,4,4,5,3,4,1,2,2,5,2,5,3,5,3,4,4,3,3,3,3,5,1,1,5,4,4,1,3,4,2,1,9,2,4
89,1,1,1,3,1,1,1,1,2,3,3,4,2,2,4,3,3,4,3,3,3,4,3,4,2,3,1,1,4,2,2,1,5,2,1,1,1,3,3,3,3,4,2,2,4,4,1,1,3,4,5,1,9,2,1
93,2,3,1,1,1,1,1,1,5,5,5,5,2,2,4,3,4,4,4,3,4,4,3,4,1,4,1,1,5,4,2,4,5,4,1,3,2,3,2,3,3,4,2,2,4,3,2,6,3,4,3,2,10,2,1
96,3,5,1,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,1,5,4,5,2,5,1,1,1,1,5,5,3,2,5,1,1,5,4,1,6,4,4,2,2,10,2,1
100,5,3,2,2,1,1,1,1,3,3,4,2,1,2,4,3,4,4,4,4,4,4,3,4,3,5,3,3,5,4,4,5,5,4,1,3,3,4,4,3,3,4,3,2,4,4,3,4,4,2,3,2,1,2,2
101,2,1,1,1,1,1,1,1,2,1,3,4,1,2,1,1,1,2,2,2,1,2,3,1,4,5,4,1,5,3,2,1,5,1,1,1,1,2,2,3,3,3,2,2,4,6,5,2,5,4,5,2,5,2,1
102,3,1,2,4,3,3,1,3,1,4,5,2,4,5,5,5,5,5,3,4,4,5,2,5,3,5,1,3,1,5,4,5,1,5,5,4,3,5,4,3,3,5,1,1,5,2,2,6,3,3,3,1,11,3,1
103,3,4,1,3,1,1,1,1,5,5,3,3,1,1,4,3,4,5,1,1,1,5,5,5,2,4,1,2,5,5,4,1,5,1,1,1,1,3,4,2,2,4,1,1,5,3,5,1,5,4,3,1,9,2,6
104,3,4,1,2,1,1,1,1,3,3,3,2,2,3,4,3,5,4,3,3,2,4,3,3,3,3,2,2,4,4,4,4,3,4,2,2,2,4,4,3,3,5,3,3,4,3,3,3,4,4,4,2,2,1,6
108,3,4,3,3,1,1,1,1,5,5,4,4,4,4,4,4,4,5,5,5,4,4,4,3,1,5,1,3,5,4,4,2,5,3,1,2,2,5,5,3,2,5,2,2,4,5,2,6,4,4,5,2,1,1,1
112,2,3,1,3,1,1,1,1,3,1,3,2,1,2,2,2,4,2,3,1,4,5,4,4,1,3,2,1,5,5,3,1,5,1,1,2,2,2,2,3,3,3,2,2,4,5,2,2,2,4,7,2,1,3,1
115,3,4,1,2,1,1,1,1,3,3,3,3,3,3,4,3,5,3,3,3,3,5,4,3,2,5,3,3,5,5,5,3,2,1,5,3,3,3,3,2,2,5,1,1,5,4,4,1,1,4,4,2,10,1,2
116,4,4,1,3,2,1,1,1,3,4,4,3,4,3,3,2,3,4,3,3,4,5,3,5,3,5,1,3,2,5,4,5,2,5,4,4,3,3,3,3,3,5,1,1,5,3,4,6,3,3,2,2,8,2,1
125,4,5,3,4,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,1,5,5,5,4,5,2,5,2,4,3,4,3,3,3,5,2,1,5,4,1,5,4,3,2,1,2,1,3
126,5,3,3,5,4,2,5,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,3,4,4,5,1,2,1,5,4,5,2,4,4,3,3,3,3,3,2,4,2,2,4,2,2,6,4,4,2,1,10,1,1
130,4,4,4,5,1,1,1,2,5,5,5,5,4,4,4,4,4,5,3,3,4,5,4,5,1,5,1,4,5,5,4,5,5,4,2,5,5,5,5,3,3,5,1,1,5,2,5,5,5,4,1,1,9,3,2
135,2,1,1,1,1,1,1,1,1,2,2,3,1,1,2,2,2,2,1,1,1,3,2,4,1,3,2,1,3,3,1,1,5,2,1,3,1,3,3,3,2,4,2,2,4,3,3,6,3,4,6,1,10,3,1
136,2,1,1,2,1,1,1,1,3,4,2,1,1,1,3,4,4,3,2,1,2,3,4,4,2,4,2,1,5,4,4,1,5,2,1,2,1,2,2,3,3,4,2,2,4,3,2,5,3,4,3,2,1,2,2
140,2,1,1,1,1,1,1,1,3,3,3,2,3,2,4,2,2,2,1,1,1,4,3,3,2,2,1,1,5,2,2,1,5,2,1,4,2,3,5,2,3,4,2,2,4,1,4,2,3,4,3,1,8,3,1
143,3,2,2,3,1,1,1,1,3,4,3,3,3,3,4,5,5,4,2,2,2,5,4,3,4,5,2,1,5,5,3,4,5,1,1,3,3,3,3,3,3,4,2,2,4,4,2,6,4,4,3,1,9,2,2
144,3,4,3,3,1,1,3,1,4,5,4,2,4,3,5,4,5,3,3,3,3,5,3,5,5,5,1,1,1,5,4,5,1,5,5,3,1,3,3,1,1,5,5,1,5,1,1,1,1,4,5,1,10,3,8
147,3,2,1,4,2,1,1,1,4,4,4,3,3,3,3,4,3,4,2,2,3,5,3,4,2,5,1,4,2,5,2,5,2,4,3,3,3,4,3,3,3,4,2,2,4,3,3,6,4,4,3,2,8,2,2
149,3,1,1,1,1,1,1,1,4,3,3,3,3,3,4,3,4,4,3,3,2,5,4,4,1,3,1,1,5,4,3,1,5,3,1,3,1,4,4,3,3,3,3,2,4,4,2,3,4,4,6,1,8,3,1
150,1,2,1,1,1,1,1,1,3,3,3,3,1,1,3,2,4,4,1,1,2,4,3,3,1,5,1,1,5,4,2,3,5,2,1,3,4,3,4,3,2,5,1,1,5,2,1,6,1,4,5,2,10,2,2
153,4,4,2,4,1,1,1,1,5,4,4,4,4,4,3,4,3,4,3,3,3,5,3,4,2,3,3,4,5,4,3,4,4,3,2,3,3,3,3,3,3,5,1,1,5,3,3,1,4,3,3,1,1,3,1
154,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,4,3,4,1,5,3,3,1,4,2,2,1,1,1,1,2,2,4,2,2,4,4,3,1,2,4,7,1,8,3,1
159,5,4,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,4,1,3,2,5,4,5,2,4,3,4,3,5,5,3,3,5,1,1,5,2,4,6,5,3,3,2,10,1,1
161,4,5,1,3,1,1,1,1,5,5,5,4,4,4,4,4,4,4,3,4,3,5,4,4,1,5,3,3,5,5,3,5,1,5,5,3,2,4,4,3,3,1,5,5,1,4,3,5,5,4,5,2,10,1,1
162,5,1,1,1,1,1,1,1,4,2,4,2,1,1,2,2,4,2,2,2,4,4,2,2,5,4,1,1,5,3,1,3,5,1,1,3,2,4,4,3,2,5,1,1,5,1,4,6,3,4,5,2,9,1,1
164,4,2,3,4,1,1,1,1,4,4,4,4,2,3,4,4,5,4,3,4,3,4,4,4,2,5,1,4,4,5,4,5,4,5,3,3,3,4,4,3,3,4,1,1,5,3,3,6,4,4,2,2,1,2,2
167,3,4,4,3,1,1,1,1,5,4,4,3,3,3,5,4,5,5,4,4,5,5,4,5,3,4,1,2,5,5,5,5,2,5,2,2,1,4,5,3,2,4,2,2,4,3,2,5,5,3,1,2,11,2,3
175,3,3,2,3,1,1,1,1,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,3,2,5,4,3,5,4,3,5,5,4,1,2,3,4,3,3,2,4,3,3,4,2,4,4,4,4,4,2,9,3,2
176,3,3,1,2,1,1,1,1,4,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,1,3,1,2,3,4,4,4,4,3,1,3,3,3,3,3,2,4,1,1,4,3,4,5,6,3,2,2,8,3,10
178,4,2,2,5,1,1,3,3,5,5,5,4,4,3,4,5,5,5,4,4,4,4,3,4,2,4,3,2,5,4,3,5,5,2,1,1,1,3,3,3,3,5,2,5,4,2,2,6,3,3,1,1,8,1,2
181,4,4,2,3,1,1,1,1,4,4,4,3,3,3,3,3,4,4,3,3,3,5,4,5,1,5,1,1,5,5,5,5,2,4,4,1,1,5,5,3,3,5,2,1,4,2,2,5,4,4,3,2,8,1,1
182,4,4,3,2,1,1,1,1,4,4,5,4,3,3,5,4,4,4,3,2,3,5,5,5,4,5,1,2,5,5,5,2,5,4,1,3,3,4,3,3,2,4,4,3,5,4,4,6,4,4,6,2,11,3,3
184,3,3,2,3,1,1,1,1,4,4,5,4,4,4,4,4,5,3,4,4,4,4,4,4,1,2,1,2,5,4,3,2,5,1,1,3,2,3,3,3,2,4,3,3,4,4,4,6,4,4,7,1,2,2,1
186,4,4,1,1,1,1,1,1,3,4,4,2,2,2,3,4,2,4,3,3,3,4,4,2,2,5,3,1,5,5,3,3,5,4,1,2,1,4,3,3,3,2,4,4,2,2,1,6,3,4,5,2,10,2,1
187,2,3,2,2,1,1,1,2,4,3,3,3,3,4,4,4,4,4,3,3,2,4,4,4,2,4,1,3,4,5,5,3,5,4,5,3,3,4,4,3,3,3,3,3,2,3,3,4,4,3,4,2,10,1,1
188,2,2,1,1,1,1,1,1,4,4,4,3,3,3,4,4,4,4,3,3,3,5,4,5,1,5,2,1,5,5,4,5,5,3,1,3,3,3,3,3,3,5,1,1,5,2,3,4,3,4,2,2,9,2,1
190,3,4,4,4,4,1,1,1,5,4,5,3,3,4,5,4,5,5,3,3,3,3,3,3,2,2,2,1,1,4,2,2,4,3,3,2,1,3,2,3,3,4,2,2,4,2,1,6,1,4,5,2,11,2,1
192,3,3,4,3,2,1,4,3,5,4,5,5,5,5,3,3,3,4,2,3,3,4,4,4,3,4,3,4,3,5,5,5,1,5,5,3,3,4,4,3,3,5,2,2,5,4,2,3,4,3,1,1,9,1,2
194,4,2,1,3,1,1,1,1,4,4,5,3,3,4,5,5,5,4,3,3,3,5,3,4,1,4,1,2,4,3,2,2,5,2,1,3,3,4,5,3,2,5,4,2,5,4,2,6,5,4,5,1,9,2,1
197,5,5,3,4,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,1,5,1,2,3,5,5,5,1,4,1,2,2,4,4,3,3,5,1,1,5,1,3,1,2,3,2,2,9,2,3
198,4,4,2,3,1,1,1,1,5,5,5,4,4,4,4,4,5,5,4,4,4,5,5,5,1,5,1,4,2,5,3,2,4,2,2,4,4,5,4,1,1,4,2,3,4,4,3,6,5,3,3,2,10,2,1
199,5,5,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,1,4,1,4,5,5,5,4,5,1,1,3,3,4,4,3,3,5,2,2,5,5,4,3,3,4,5,2,10,2,1
201,5,5,5,5,2,1,1,1,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,1,1,5,1,4,5,5,5,5,5,2,1,1,1,4,4,3,3,5,5,5,5,4,1,6,2,3,3,2,1,1,1
